BTJD,mjd,cts,e_cts,bkg_model,raw_flux,e_raw_flux,flux,e_flux,scale,shift,bkg_frac,mjd_0,modelFlux,modelResidual
1871.08987,58870.589869999785,-6012.1353,1160.9123,0.00040738423051269303,-0.7564298125182545,0.146062693139846,0.11700221096458008,0.12044852015144196,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.6457899999732035,-1.2151877225825876,0.4587579100643331
1871.11071,58870.610710000146,-7356.3599,1108.758,0.0002307616915838065,-0.9255563393548057,0.13950078702788257,-0.01775752113601055,0.1150373377093795,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.6666300003344077,-1.2151877225825876,0.2896313832277818
1871.13154,58870.63153999997,-9884.8276,1101.4972,0.0002307616915838065,-1.2436809744190669,0.13858725376412978,-0.2800944717529695,0.11428400551097347,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.6874600001610816,-1.2151877225825876,-0.028493251836479327
1871.15237,58870.652369999785,-6570.6343,1111.1013,0.0002307616915838065,-0.8266985727475249,0.13979561438808422,0.06376412848825826,0.11528046289400444,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.7082899999732035,-1.2151877225825876,0.38848914983506266
1871.1732,58870.67320000008,-9106.835,1092.3718,-0.0005649563099756238,-1.1457961519403395,0.1374391218165413,-0.17816448890057973,0.11333721484832826,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.7291200002655387,-1.2151877225825876,0.0693915706422481
1871.19403,58870.694029999904,-4012.5733,1091.8609,0.0002307616915838065,-0.504850592606383,0.1373748418274972,0.32917148260718493,0.11328420727062805,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.7499500000922126,-1.2151877225825876,0.7103371299762046
1871.21487,58870.714869999785,-9458.3543,1081.1283,-0.0005649563099756238,-1.1900233133276672,0.13602449653406493,-0.21463578780030793,0.11217066425159265,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.7707899999732035,-1.2151877225825876,0.02516440925492036
1871.2357,58870.73570000008,-7394.5537,1074.0365,-0.0005649563099756238,-0.930361774949936,0.13513222637101371,-0.0005095974260151888,0.1114348663664208,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.7916200002655387,-1.2151877225825876,0.28482594763265157
1871.25653,58870.756529999904,-8323.7307,1067.1637,-0.0005649563099756238,-1.0472681898648288,0.13426751016685984,-0.09691480788743964,0.11072179046112039,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.8124500000922126,-1.2151877225825876,0.16791953271775872
1871.27736,58870.777360000175,-8462.2346,1065.2366,-0.000625049503262492,-1.0646943577539723,0.13402504791027955,-0.10968320504870264,0.11052184741358455,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.8332800003627199,-1.2151877225825876,0.1504933648286153
1871.29819,58870.798189999994,-8317.7689,1070.3582,-0.000625049503262492,-1.0465180930970015,0.13466943309698576,-0.09469440720614206,0.1110532304825792,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.8541100001821178,-1.2151877225825876,0.16866962948558606
1871.31903,58870.819029999904,-6105.3535,1065.491,-0.0013485611741000155,-0.7681582620675004,0.13405705579677948,0.15413698988004138,0.11054824226143527,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.8749500000922126,-1.2151877225825876,0.4470294605150872
1871.33986,58870.839860000175,-8007.9572,1057.6287,-0.0013485611741000155,-1.0075384636553684,0.13306784350893192,-0.04326448489084184,0.10973250243338223,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.8957800003627199,-1.2151877225825876,0.2076492589272192
1871.36069,58870.860689999994,-7481.9625,1072.6107,-0.000625049503262492,-0.9413593022671347,0.1349528362587039,-0.007976707675260767,0.11128693486459075,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.9166100001821178,-1.2151877225825876,0.27382842031545285
1871.38152,58870.88151999982,-9034.1214,1081.4969,-0.0013485611741000155,-1.136647533010302,0.1360708727406839,-0.1497324405860206,0.112208907730043,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.9374400000087917,-1.2151877225825876,0.07854018957228548
1871.40235,58870.902350000106,-12717.0681,1113.5687,-0.000625049503262492,-1.600025441653796,0.14010605565832768,-0.551136360955295,0.11553646386722324,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.9582700002938509,-1.2151877225825876,-0.38483771907120845
1871.42319,58870.923189999994,-10118.860999999999,1069.5054,-0.000625049503262492,-1.2731263930684125,0.13456213621959923,-0.28156371516459244,0.11096474964041297,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.9791100001821178,-1.2151877225825876,-0.057938670485824906
1871.44402,58870.94401999982,-8365.2604,1081.0329,-0.0013485611741000155,-1.0524933389370625,0.13601249357662742,-0.0803358826918424,0.1121607661836486,0.8246357612762896,0.0368981891057984,1.3085484938003966,0.9999400000087917,-1.2151877225825876,0.16269438364552502
1871.46485,58870.964850000106,-10572.8314,1091.7002,-0.000625049503262492,-1.3302436612976947,0.13735462300925613,-0.3286646571328686,0.11326753411005569,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.020770000293851,-1.2151877225825876,-0.11505593871510711
1871.48568,58870.98567999993,-9179.1202,1082.7148,-0.0013485611741000155,-1.1548908707973562,0.13622410546461583,-0.1647765493302686,0.11233526891399502,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.0416000001205248,-1.2151877225825876,0.060296851785231365
1871.50651,58871.00651000022,-10297.7414,1066.5111,-0.0013485611741000155,-1.2956326176763635,0.13418540188568898,-0.2808372269111939,0.11065408103617,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.062430000405584,-1.2151877225825876,-0.08044489509377595
1871.52735,58871.027350000106,-11063.9144,1078.3305,-0.0013485611741000155,-1.3920303316044833,0.135672485272864,-0.3603302291216025,0.11188038317723438,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.083270000293851,-1.2151877225825876,-0.17684260902189575
