MJD,FLT,FLUXCAL,FLUXCALERR,MAG,MAGERR
59010.3238,orange-ATLAS,763.4841052,216.0660018,20.293,0.283
59010.32981,orange-ATLAS,-144.8104823,249.508461,-22.098,1.723
59010.33995,orange-ATLAS,206.6331518,272.5491272,21.712,1.319
59011.37315,cyan-ATLAS,47.86300923,268.0328517,23.3,5.6
59011.37638,cyan-ATLAS,-114.8153621,250.5271202,-22.35,2.182
59011.3864,cyan-ATLAS,270.3958364,258.7688154,21.42,0.957
59011.40253,cyan-ATLAS,227.1956438,255.5950992,21.609,1.125
59014.30973,orange-ATLAS,198.7925021,216.8826198,21.754,1.091
59014.3139,orange-ATLAS,304.2285727,227.5629724,21.292,0.748
59014.31988,orange-ATLAS,210.4747489,268.9867291,21.692,1.278
59014.33051,orange-ATLAS,280.5433638,300.742486,21.38,1.072
59015.30861,cyan-ATLAS,16.05461887,240.819283,24.486,15
59015.31231,cyan-ATLAS,234.8551024,231.0974208,21.573,0.984
59015.31784,cyan-ATLAS,560.2733948,247.0805671,20.629,0.441
59015.32838,cyan-ATLAS,262.3010324,212.9884383,21.453,0.812
59018.3251,orange-ATLAS,867.760745,421.7317221,20.154,0.486
59018.32602,orange-ATLAS,447.507172,436.7669999,20.873,0.976
59018.32832,orange-ATLAS,-356.4511334,395.304307,-21.12,1.109
59018.32924,orange-ATLAS,1624.800335,482.5656996,19.473,0.297
59018.33431,orange-ATLAS,-29.70297844,554.4654985,-23.818,18.667
59018.33569,orange-ATLAS,-445.0409766,829.5563805,-20.879,1.864
59018.34494,orange-ATLAS,82.03515443,366.4510349,22.715,4.467
59018.34632,orange-ATLAS,821.8640804,687.9002353,20.213,0.837
59020.31558,cyan-ATLAS,-198.6094917,331.0820227,-21.755,1.667
59020.31878,cyan-ATLAS,696.9473964,351.2614878,20.392,0.504
59020.32474,cyan-ATLAS,331.436245,503.4516562,21.199,1.519
59020.33686,cyan-ATLAS,775.5324958,323.3970507,20.276,0.417
59026.28508,orange-ATLAS,301.1618803,350.2512668,21.303,1.163
59026.28835,orange-ATLAS,437.7236379,333.5454121,20.897,0.762
59026.29571,orange-ATLAS,-250.7263625,326.1949976,-21.502,1.301
59026.3105,orange-ATLAS,205.6837587,351.102176,21.717,1.707
59028.38728,orange-ATLAS,8582.227051,12221.09132,17.666,1.424
59028.3882,orange-ATLAS,-127.8792263,403.3310797,-22.233,3.154
59028.39375,orange-ATLAS,640.3243245,347.6961082,20.484,0.543
59028.39931,orange-ATLAS,-24.32204009,357.5339893,-24.035,14.7
59028.41222,orange-ATLAS,367.1131997,337.3770305,21.088,0.919
59030.26967,orange-ATLAS,-100.6468066,436.1026132,-22.493,4.333
59030.2748,orange-ATLAS,99.17449552,367.9373784,22.509,3.71
59030.28032,orange-ATLAS,138.9312682,385.3953379,22.143,2.774
59030.29094,orange-ATLAS,305.9144559,330.6935269,21.286,1.081
59032.26891,orange-ATLAS,351.2367905,554.6028921,21.136,1.579
59032.27169,orange-ATLAS,927.2567426,457.1375741,20.082,0.493
59032.27812,orange-ATLAS,464.3014073,500.0526156,20.833,1.077
59032.29105,orange-ATLAS,364.7539469,527.4342073,21.095,1.446
59032.29291,orange-ATLAS,-40888.38903,13574.94516,-15.971,0.332
59034.3095,orange-ATLAS,-244.5682072,522.3976906,-21.529,2.136
59034.31273,orange-ATLAS,240.5470305,621.5735268,21.547,2.584
59034.32011,orange-ATLAS,121.5626055,508.1316911,22.288,4.18
59034.33116,orange-ATLAS,-574.3809135,626.6495766,-20.602,1.091
59036.30918,orange-ATLAS,89.37169609,772.1714542,22.622,8.64
59036.31286,orange-ATLAS,35.8426408,724.0213442,23.614,20.2
59036.31933,orange-ATLAS,112.9275744,710.3144431,22.368,6.29
59036.3304,orange-ATLAS,134.5240705,658.7643733,22.178,4.897
59038.26895,orange-ATLAS,98.4464364,285.6915584,22.517,2.902
59038.27263,orange-ATLAS,464.3014073,330.582602,20.833,0.712
59038.28147,orange-ATLAS,363.0780548,245.077687,21.1,0.675
59038.29164,orange-ATLAS,-54.30002131,237.5625932,-23.163,4.375
59040.267,cyan-ATLAS,-154.8816619,304.6522289,-22.025,1.967
59040.2698,cyan-ATLAS,-145.7471261,296.3039074,-22.091,2.033
59040.27724,cyan-ATLAS,84.64474481,327.3212282,22.681,3.867
59040.28754,cyan-ATLAS,142.4295165,290.5562137,22.116,2.04
59042.25518,orange-ATLAS,-17.84842916,755.5775518,-24.371,42.333
59042.25842,orange-ATLAS,1360.191323,534.5551899,19.666,0.393
59042.26351,orange-ATLAS,926.4031007,897.6846046,20.083,0.969
59042.27373,orange-ATLAS,-526.2595621,570.4653653,-20.697,1.084
59044.31202,cyan-ATLAS,-119.2339688,276.9805095,-22.309,2.323
59044.31662,cyan-ATLAS,41.07712126,309.9268799,23.466,7.545
59044.31799,cyan-ATLAS,404.7622487,324.6193234,20.982,0.802
59044.32129,cyan-ATLAS,609.2562597,283.3041608,20.538,0.465
59044.3222,cyan-ATLAS,766.3020723,274.3361419,20.289,0.358
59044.32817,cyan-ATLAS,398.4740097,335.9135902,20.999,0.843
59044.33242,cyan-ATLAS,297.8516429,284.448319,21.315,0.955
59044.33793,cyan-ATLAS,414.1903726,310.6427795,20.957,0.75
59046.24898,orange-ATLAS,-2368.099794,5446.629526,-19.064,2.3
59046.25269,orange-ATLAS,8348.337537,6227.859803,17.696,0.746
59046.25918,orange-ATLAS,-6576.578374,12587.57101,-17.955,1.914
59046.26981,orange-ATLAS,-510.035024,5537.450255,-20.731,10.857
59048.2846,cyan-ATLAS,-29.0268561,272.126776,-23.843,9.375
59048.28875,cyan-ATLAS,-149.4169957,247.8827959,-22.064,1.659
59048.2952,cyan-ATLAS,152.6159766,347.2013467,22.041,2.275
59048.29843,cyan-ATLAS,439.7440784,343.0003812,20.892,0.78
59048.30164,cyan-ATLAS,439.3392456,280.737778,20.893,0.639
59048.30578,cyan-ATLAS,388.329157,307.9450215,21.027,0.793
59048.30716,cyan-ATLAS,161.1387536,308.9029906,21.982,1.917
59048.31728,cyan-ATLAS,210.4747489,270.0391028,21.692,1.283
59050.24959,orange-ATLAS,-930.6791832,429.0431034,-20.078,0.461
59050.25284,orange-ATLAS,292.6846862,277.1723979,21.334,0.947
59050.26163,orange-ATLAS,-9.853715069,246.3428767,-25.016,25
59050.27181,orange-ATLAS,706.6429004,200.6865837,20.377,0.284
59054.24571,orange-ATLAS,1502.449903,808.3180478,19.558,0.538
59054.24894,orange-ATLAS,391.5615148,514.903392,21.018,1.315
59054.25448,orange-ATLAS,304.2285727,278.0649155,21.292,0.914
59054.26515,orange-ATLAS,-70.85981269,292.5093068,-22.874,4.128
59058.24527,orange-ATLAS,-94.97296574,976.4170607,-22.556,10.281
59058.24851,orange-ATLAS,66.19116119,529.5292896,22.948,8
59058.25405,orange-ATLAS,705.9923579,416.5354912,20.378,0.59
59058.26559,orange-ATLAS,942.7575085,359.1906107,20.064,0.381
59082.23525,orange-ATLAS,834.8337537,653.6748292,20.196,0.783
59082.23849,orange-ATLAS,1285.878693,509.2079623,19.727,0.396
59082.24825,orange-ATLAS,32.03317601,400.4147001,23.736,12.5
59082.26163,orange-ATLAS,-70.4693069,336.3500018,-22.88,4.773
