time,f50,m50,f25,m25,f10,m10,f5,m5,f1,m1,f0.5,m0.5,f0.1,m0.1 
1.622704,8.631987,18.0997,6.483822,18.4104,4.269005,18.8642,2.986605,19.2521,1.114012,20.3228,0.658818,20.8931,0.140127,22.5737
1.644042,8.715435,18.0893,6.54086,18.4009,4.30028,18.8563,3.004206,19.2457,1.115411,20.3214,0.657826,20.8947,0.1387,22.5848
1.66538,8.798337,18.079,6.597414,18.3916,4.331169,18.8485,3.0215,19.2394,1.116686,20.3202,0.656773,20.8965,0.137282,22.596
1.686718,8.880699,18.0689,6.653489,18.3824,4.361675,18.8409,3.038495,19.2334,1.117843,20.319,0.65566,20.8983,0.135873,22.6072
1.708056,8.962525,18.0589,6.70909,18.3733,4.391804,18.8334,3.055194,19.2274,1.118882,20.318,0.654489,20.9002,0.134473,22.6184
1.729394,9.043821,18.0491,6.764223,18.3645,4.421561,18.8261,3.071602,19.2216,1.119809,20.3171,0.653264,20.9023,0.133083,22.6297
1.750732,9.124592,18.0395,6.818892,18.3557,4.450951,18.8189,3.087723,19.2159,1.120625,20.3163,0.651986,20.9044,0.131703,22.641
1.772069,9.204843,18.03,6.873103,18.3471,4.479979,18.8118,3.103563,19.2103,1.121334,20.3157,0.650658,20.9066,0.130333,22.6524
1.793407,9.284578,18.0206,6.92686,18.3387,4.508649,18.8049,3.119125,19.2049,1.121939,20.3151,0.64928,20.9089,0.128974,22.6637
1.814745,9.363802,18.0114,6.980168,18.3303,4.536966,18.7981,3.134414,19.1996,1.122442,20.3146,0.647856,20.9113,0.127625,22.6752
1.836083,9.442521,18.0023,7.033031,18.3221,4.564935,18.7914,3.149435,19.1944,1.122847,20.3142,0.646386,20.9138,0.126287,22.6866
1.857421,9.520737,17.9933,7.085456,18.3141,4.59256,18.7849,3.16419,19.1893,1.123155,20.3139,0.644873,20.9163,0.12496,22.6981
1.878759,9.598457,17.9845,7.137445,18.3061,4.619845,18.7784,3.178685,19.1844,1.12337,20.3137,0.643319,20.9189,0.123644,22.7096
1.900097,9.675684,17.9758,7.189003,18.2983,4.646795,18.7721,3.192923,19.1795,1.123493,20.3136,0.641724,20.9216,0.122339,22.7211
1.921435,9.752423,17.9672,7.240136,18.2906,4.673414,18.7659,3.206908,19.1748,1.123528,20.3135,0.640091,20.9244,0.121046,22.7326
1.942773,9.828678,17.9588,7.290846,18.2831,4.699706,18.7598,3.220644,19.1701,1.123476,20.3136,0.638422,20.9272,0.119763,22.7442
1.964111,9.904454,17.9504,7.341139,18.2756,4.725675,18.7538,3.234135,19.1656,1.12334,20.3137,0.636717,20.9301,0.118493,22.7558
1.985449,9.979753,17.9422,7.391019,18.2682,4.751325,18.748,3.247384,19.1612,1.123122,20.3139,0.634978,20.9331,0.117233,22.7674
2.006786,10.054582,17.9341,7.440489,18.261,4.77666,18.7422,3.260395,19.1568,1.122825,20.3142,0.633206,20.9361,0.115985,22.779
2.028124,10.128943,17.9261,7.489554,18.2539,4.801685,18.7365,3.273171,19.1526,1.12245,20.3146,0.631404,20.9392,0.114749,22.7906
2.049462,10.202841,17.9182,7.538217,18.2468,4.826401,18.7309,3.285717,19.1484,1.122,20.315,0.629571,20.9424,0.113524,22.8023
2.0708,10.276279,17.9104,7.586483,18.2399,4.850815,18.7255,3.298035,19.1444,1.121476,20.3155,0.627711,20.9456,0.112311,22.8139
2.092138,10.349262,17.9027,7.634356,18.2331,4.874928,18.7201,3.310128,19.1404,1.120881,20.3161,0.625822,20.9489,0.11111,22.8256
2.113476,10.421793,17.8951,7.681839,18.2263,4.898746,18.7148,3.322,19.1365,1.120217,20.3167,0.623908,20.9522,0.10992,22.8373
2.134814,10.493876,17.8877,7.728936,18.2197,4.92227,18.7096,3.333655,19.1327,1.119484,20.3175,0.621969,20.9556,0.108742,22.849
2.156152,10.565515,17.8803,7.77565,18.2132,4.945506,18.7045,3.345095,19.129,1.118686,20.3182,0.620006,20.959,0.107576,22.8607
2.17749,10.636713,17.873,7.821987,18.2067,4.968455,18.6994,3.356323,19.1253,1.117823,20.3191,0.61802,20.9625,0.106421,22.8724
2.198828,10.707474,17.8658,7.867948,18.2003,4.991122,18.6945,3.367343,19.1218,1.116899,20.32,0.616012,20.966,0.105277,22.8842
2.220166,10.777802,17.8587,7.913537,18.1941,5.01351,18.6896,3.378157,19.1183,1.115913,20.3209,0.613984,20.9696,0.104145,22.8959
2.241504,10.847699,17.8517,7.958758,18.1879,5.035622,18.6849,3.388769,19.1149,1.114868,20.3219,0.611936,20.9732,0.103025,22.9076
2.262841,10.917171,17.8447,8.003615,18.1818,5.057461,18.6802,3.39918,19.1116,1.113766,20.323,0.609869,20.9769,0.101916,22.9194
2.284179,10.986219,17.8379,8.048111,18.1758,5.079031,18.6755,3.409395,19.1083,1.112608,20.3241,0.607784,20.9806,0.100819,22.9311
